playerAggression,distance,nemInput,curReward
8,215424.390625,Melee,-5
8,214424.40625,Melee,-5
8,213508.234375,Melee,-5
8,212669.03125,Melee,-5
8,211909.046875,Burst,-5
1,212279.6875,Melee,-5
8,212729.546875,Run,-5
8,214310.03125,Run,-5
8,215743.96875,Run,-5
8,216795.34375,Melee,-5
8,217843.875,Melee,-5
8,218897.625,Melee,-5
8,219948.96875,Melee,-5
8,221000.34375,Melee,-5
8,222051.71875,Melee,-5
8,221000.34375,Melee,-6
8,219948.96875,Melee,-6
8,218897.59375,Melee,-6
8,217846.234375,Melee,-6
8,216792.5,Melee,-6
8,215743.453125,Melee,-6
8,214692.0625,Melee,-6
8,213640.6875,Melee,-6
8,212589.328125,Melee,-6
8,211535.40625,Burst,-6
8,210486.6875,Dash,-6
8,209435.328125,Dash,-6
8,208383.953125,Run,-6
8,207332.578125,Burst,-6
0,204743.75,Burst,-5
0,204075.921875,Burst,-5
0,203409.265625,Burst,-5
0,202742.59375,Melee,-5
0,202075.9375,Melee,-5
0,201409.28125,Melee,-5
0,200742.625,Melee,-5
1,200742.625,Melee,-5
-2,200742.625,Melee,-5
8,199691.25,Melee,-5
8,198639.875,Melee,-5
8,197591.375,Burst,-5
8,196540.015625,Melee,-5
8,195488.640625,Melee,-5
8,194437.28125,Melee,-5
8,193385.03125,Melee,-5
8,192334.03125,Melee,-5
8,191282.671875,Melee,-5
8,190231.296875,Melee,-5
8,190231.296875,Melee,-5
8,190231.296875,Melee,-5
8,190231.296875,Melee,-5
8,190231.296875,Melee,-5
8,191282.671875,Jump,-5
8,192334.03125,Dash,-5
8,193385.40625,Burst,-4
8,194434.890625,Run,-4
8,195487.640625,Run,-4
8,196539.0,Run,-5
8,197232.296875,Melee,-5
8,198004.8125,Melee,-5
8,198855.078125,Melee,-5
8,199787.0625,Melee,-5
8,200797.25,Melee,-5
8,201886.703125,Melee,-5
8,203055.375,Melee,-5
8,204302.328125,Melee,-5
8,205630.078125,Melee,-5
8,207036.4375,Burst,-5
8,208522.0625,Dash,-5
8,210086.90625,Dash,-5
1,210679.625,Dash,-5
-2,211075.96875,Dash,-5
8,212127.34375,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,213178.703125,Run,-5
8,212127.34375,Burst,-6
8,211075.34375,Run,-6
8,210023.96875,Run,-6
8,208972.59375,Run,-6
8,207921.21875,Burst,-6
8,206869.84375,Burst,-6
8,205817.9375,Burst,-6
8,204766.546875,Burst,-6
8,205817.921875,Burst,-7
8,206868.3125,Melee,-7
8,207920.28125,Melee,-7
8,208971.640625,Melee,-7
8,210023.0,Jump,-7
8,211074.375,Burst,-7
8,211074.375,Burst,-7
8,211074.375,Burst,-7
8,210023.0,Burst,-7
8,208971.640625,Burst,-7
8,207920.265625,Jump,-7
8,206868.90625,Jump,-7
1,206868.90625,Jump,-7
-2,206868.90625,Jump,-7
-2,205817.53125,Burst,-7
-2,204766.15625,Burst,-7
-2,203714.78125,Melee,-7
-1,202663.40625,Melee,-7
-1,202663.40625,Melee,-7
-1,202663.40625,Melee,-7
-1,202663.40625,Melee,-7
-1,202663.40625,Melee,-7
1,202663.40625,Melee,-7
-2,202663.40625,Melee,-7
-2,201612.03125,Melee,-7
-2,200560.671875,Melee,-7
-2,199509.296875,Melee,-7
-3,198457.9375,Melee,-7
-3,195691.15625,Melee,-7
-3,192924.375,Melee,-7
-3,190157.59375,Melee,-7
-3,187390.8125,Melee,-7
-3,184624.03125,Melee,-7
-3,181857.265625,Melee,-7
-3,179090.5,Melee,-7
-3,176323.71875,Melee,-7
-3,173556.9375,Dash,-7
-3,170790.171875,Run,-7
-3,168023.40625,Run,-7
